2026-04-17 21:39:37 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Netscape.json
2026-04-17 21:39:37 | collector.failory    | INFO     | [success][OK][/success] Collected: Netscape
2026-04-17 21:39:40 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\HotelsAroundYou.json
2026-04-17 21:39:40 | collector.failory    | INFO     | [success][OK][/success] Collected: HotelsAroundYou
2026-04-17 21:39:43 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Yik_Yak.json
2026-04-17 21:39:43 | collector.failory    | INFO     | [success][OK][/success] Collected: Yik Yak
2026-04-17 21:39:46 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\ScaleFactor.json
2026-04-17 21:39:46 | collector.failory    | INFO     | [success][OK][/success] Collected: ScaleFactor
2026-04-17 21:39:50 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Pixate.json
2026-04-17 21:39:50 | collector.failory    | INFO     | [success][OK][/success] Collected: Pixate
2026-04-17 21:39:53 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Musical_ly.json
2026-04-17 21:39:53 | collector.failory    | INFO     | [success][OK][/success] Collected: Musical.ly
2026-04-17 21:39:56 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Katerra.json
2026-04-17 21:39:56 | collector.failory    | INFO     | [success][OK][/success] Collected: Katerra
2026-04-17 21:39:59 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Quirky.json
2026-04-17 21:39:59 | collector.failory    | INFO     | [success][OK][/success] Collected: Quirky
2026-04-17 21:40:01 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Zoomo.json
2026-04-17 21:40:01 | collector.failory    | INFO     | [success][OK][/success] Collected: Zoomo
2026-04-17 21:40:04 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\PepperTap.json
2026-04-17 21:40:04 | collector.failory    | INFO     | [success][OK][/success] Collected: PepperTap
2026-04-17 21:40:07 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Desti.json
2026-04-17 21:40:07 | collector.failory    | INFO     | [success][OK][/success] Collected: Desti
2026-04-17 21:40:10 | collector.failory    | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\failory\Yogome.json
2026-04-17 21:40:10 | collector.failory    | INFO     | [success][OK][/success] Collected: Yogome
2026-04-17 21:40:10 | collector.failory    | INFO     | [stage]>> FAILORY COLLECTOR[/stage] -- Done — 31 collected, 0 errors
2026-04-17 21:40:10 | collector.yc         | INFO     | [stage]>> YC COLLECTOR[/stage] -- Starting collection
2026-04-17 21:40:16 | collector.yc         | INFO     | [success][OK][/success] Found YC company in seed: Stripe
